REPASSE DE MANUTENÇÃO;;;;;;;;;
;;DIRETORIA REGIONAL BAIXADAS LITORÂNEAS;;;;;;;
ITEM;código;ARARUAMA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
48;33082332;CE Presidente Antônio Carlos  ;16.737.982/0001-39;6728 - 0000015873; R$ 4.297,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
49;33079390;CE Professor Daltro Santos ;30.461.263/0001-69;1453 - 0000678481; R$ 9.659,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
50;33082049;CE Professor Fernando Antônio Raja Gabaglia;30.039.614/0001-48;0868 - 0000068403; R$ 25.181,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
51;33138354;CE Professor Ozeas Gomes Laranjeira;14.818.985/0001-71;1700 - 0000754625; R$ 6.324,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
52;33082430;CE Professor Vieira Fazenda;11.452.997/0001-37;0552 - 0001465406; R$ 2.371,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
53;33136505;CE Professora Jeannette Souza Coelho Mannarino  ;07.854.206/0001-28;6870 - 0000000655; R$ 30.384,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
54;33082359;CE Professora Jurema Peçanha Giraud;14.650.499/0001-97;2751 - 0000320374; R$ 6.358,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
55;33136432;CE Professora Vania do Amaral Matias Edde ;13.656.222/0001-09;6735 - 0000001660; R$ 13.775,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
56;33136424;CE Professora Vilma Atanásio ;12.296.784/0001-26;0868 - 0000083313; R$ 13.175,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
57;33082375;CE Rainha Vitória  ;02.680.016/0001-18;2751 - 0000299006; R$ 2.313,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
58;33079900;CE Ramiz Galvão ;14.380.335/0001-97;2490 - 0000405507; R$ 2.688,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
59;33100675;CE Raymundo Corrêa;13.820.851/0001-22;3248 - 0000133310; R$ 4.660,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
60;33079404;CE República de Moçambique ;13.820.180/0001-08;6554 - 0000002801; R$ 4.023,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
61;33136513;CE Rosária Trotta;07.932.204/0001-00;2049 - 68896; R$ 3.499,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
62;33079323;CE Stuart Edgar Angel Jones ;02.021.505/0001-68;2049 - 0000068934; R$ 23.627,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
63;33075883;CE Viriato Correa;02.867.978/0001-80;2787 - 0000143693; R$ 4.125,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
64;33081743;CIE Miécimo da Silva ;00.863.847/0001-08;0868 - 0000068411; R$ 13.476,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
65;33106746;CIEP 165 Brigadeiro Sérgio Carvalho;02.381.660/0001-95;3431 - 0000291552; R$ 20.738,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
66;33106657;CIEP 183 João Vitta;02.748.905/0001-70;6735 - 0000002143; R$ 22.488,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
67;33106550;CIEP 223 Olympio Marques Santos;02.010.985/0001-61;2751 - 0000299030; R$ 20.228,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
68;33106606;CIEP 224 Tarso de Castro;02.797.117/0001-73;0955 - 0000059854; R$ 17.250,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
69;33106690;CIEP 225 Mário Quintana;02.372.141/0001-60;0868 - 0000068608; R$ 26.957,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
70;33106703;CIEP 244 Oswaldo Aranha;04.326.979/0001-43;6889 - 0000003310; R$ 13.516,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
71;33106681;CIEP 305 Heitor dos Prazeres;01.421.530/0001-76;6876 - 0000001910; R$ 33.499,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
72;33105294;CIEP 311 Deputado Bocayuva Cunha ;03.270.391/0001-52;3431 - 0000293687; R$ 26.037,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
73;33106649;CIEP 312 Raul Riff;02.917.195/0001-64;0552 - 0001465139; R$ 21.638,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
74;33106720;CIEP 313 Rubens Braga;02.863.318/0001-21;1453 - 0000678490; R$ 18.554,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
75;33106584;CIEP 336 Otávio Malta;03.411.966/0001-00;0868 - 0000068314; R$ 22.307,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
76;33106711;CIEP 362 Roberto Burle Marx;03.019.208/0001-40;0552 - 0001462636; R$ 16.075,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
77;33106630;CIEP 382 Aspirante Francisco Mega ;02.952.636/0001-69;2490 - 0000405515; R$ 27.878,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
78;33106614;CIEP 386 Guilherme da Silveira Filho;02.260.533/0001-38;0955 - 0000061085; R$ 29.890,20 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
79;33106673;CIEP 392 Mário de Andrade;01.661.004/0001-83;6735 - 0000001708; R$ 23.356,40 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
80;33110476;CIEP 418 Antônio Carlos Bernardes Mussum;02.823.644/0001-05;2845 - 0000133973; R$ 6.415,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
81;33106665;CIEP 432 Alberto Cavalcanti;04.422.296/0001-90;3248 - 0000133256; R$ 11.864,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
82;33106738;CIEP 433 Togo Renan Soares;01.414.621/0001-84;6870 - 0000000094; R$ 22.779,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
83;33106592;CIEP 435 Hélio Pelegrini;01.846.107/0001-18;2751 - 0000299090; R$ 17.939,00 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
84;33082340;EEES Professor Gonçalves  ;02.708.107/0001-14;0552 - 0001469754; R$ 4.489,60 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
85;33083592;IE Sarah Kubitscheck;28.126.597/0001-34;6728 - 0000001724; R$ 57.853,80 ;2021NE01577;2021NL01520;2021PD01880;2021LB17967
85;;RIO DE JANEIRO;;; R$ 1.070.504,00 ;;;;
ITEM;código;SEROPÉDICA;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33045542;CE Alice de Souza Bruno;01.273.695/0001-48;6650 - 0000000353; R$ 3.658,40 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
2;33045550;CE Alvarina de Carvalho Jannotti;01.225.936/0001-83;6650 - 0000000191; R$ 4.014,40 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
3;33166382;CE Bananal;26.776.969/0001-42;6650 - 84832; R$ 3.400,00 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
4;33045470;CE Barão de Teffé;02.590.457/0001-29;2163 - 0000030163; R$ 10.105,40 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
5;33045496;CE Presidente Dutra;01.859.668/0001-51;6650 - 0000000531; R$ 12.001,60 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
6;33045569;CE Professor Roberto Lyra;01.471.783/0001-54;1542 - 0000463310; R$ 5.062,20 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
7;33045577;CE Professor Waldemar Raythe;01.255.854/0001-81;6650 - 0000000361; R$ 4.242,20 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
8;33045437;CIEP 155 Maria Joaquina de Oliveira;01.268.508/0001-38;6650 - 0000000345; R$ 9.523,60 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
9;33045445;CIEP 156 Doutor Albert Sabin;01.311.568/0001-96;1310 - 0000129267; R$ 12.348,60 ;2021NE01576;2021NL01519;2021PD01879;2021LB17964
9;;SEROPÉDICA;;; R$ 64.356,40 ;;;;
105;;TOTAL DA REGIONAL METROPOLITANA IV;;; R$ 1.219.589,40 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA V;;;;;;;
ITEM;código;DUQUE DE CAXIAS;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33049920;CE Abdala Chama;00.894.954/0001-95;2236 - 0000020761; R$ 7.466,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
2;33049785;CE Adelina Castro;01.009.259/0001-66;2814 - 0000407330; R$ 10.235,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
3;33050791;CE Alemy Tavares da Silva;01.270.821.0001-00;1284 - 0000055980; R$ 6.978,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
4;33049793;CE Alexandre Graham Bell;00.970.220/0001-48;2814 - 0000407577; R$ 11.124,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
5;33048444;CE Álvaro Negromonte;00.887.272/0001-55;2236 - 0000020907; R$ 9.003,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
6;33048452;CE Aura Barreto;00.788.142/0001-65;2620 - 0000013072; R$ 8.237,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
7;33050759;CE Barão de Mauá;03.374.068/0001-29;1284 - 0000057320; R$ 15.622,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
8;33050767;CE Círculo Operário ;00.680.160/0001-29;1284 - 0000055956; R$ 17.222,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
9;33050490;CE Doutor Alfredo Backer;01.283.538/0001-13;2512 - 0000369675; R$ 7.419,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
10;33048860;CE Doutor Ignácio Bezerra de Menezes;01.438.651/0001-20;2236 - 0000020753; R$ 10.168,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
11;33048460;CE Dulce Petri;01.202.364/0001-17;2236 - 0000020699; R$ 5.994,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
12;33048479;CE Duque de Caxias;00.671.306/0001-70;0129 - 0001973924; R$ 18.245,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
13;33049963;CE Embaixador Raul Fernandes;00.796.610/0001-43;2620 - 0000011703; R$ 5.148,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
14;33048878;CE Euclides da Cunha;00.722.212/0001-82;2236 - 0000020842; R$ 5.070,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
15;33048886;CE Evangelina Porto da Motta;00.924.713/0001-41;2236 - 0000020729; R$ 6.632,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
16;33050422;CE Fernando Figueiredo;01.112.088/0001-04;2814 - 0000407593; R$ 14.509,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
17;33048487;CE Fidélis Medeiros;01.772.025/0001-76;2620 - 0000013048; R$ 5.925,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
18;33049807;CE Frei Henrique de Coimbra;00.832.093/0001-10;2814 - 0000407879; R$ 6.154,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
19;33048908;CE Getúlio Vargas ;00.895.220/0001-20;2236 - 0000020737; R$ 6.643,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
20;33048495;CE Guadalajara;02.390.394/0001-67;2236 - 0000020818; R$ 6.747,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
21;33049980;CE Hélio Rangel ;00.781.795/0001-12;0129 - 0001974408; R$ 10.538,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
22;33050805;CE Hervalina Diniz Pires;01.948.583/0001-40;1206 - 0000110809; R$ 4.477,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
23;33048509;CE Irineu Marinho;00.960.498/0001-34;2236 - 0000020915; R$ 5.194,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
24;33048940;CE Lara Villela;01.323.727/0001-72;0129 - 0001974076; R$ 8.037,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
25;33048959;CE Lia Márcia Gonçalo Panaro;01.132.759/0001-90;1206 - 0000110795; R$ 11.771,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
26;33050503;CE Manoel Bandeira;01.270.823/0001-08;1284 - 0000056588; R$ 5.745,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
27;33050015;CE Marechal Rondon;00.781.630/0001-40;1284 - 0000056081; R$ 6.301,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
28;33048975;CE Miguel Couto;01.164.835/0001-40;0129 - 0001974181; R$ 3.862,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
29;33050023;CE Minas Gerais ;00.939.609/0001-20;2814 - 0000407690; R$ 11.964,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
30;33050813;CE Monteiro Lobato;01.898.798/0001-01;1284 - 0000056065; R$ 10.121,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
31;33050511;CE Nova América;01.281.014/0001-93;1284 - 0000057258; R$ 8.465,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
32;33142882;CE Nova Campina;07.355.663/0001-78;1284 - 0000055859; R$ 7.915,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
33;33050538;CE Operário João Vicente;01.449.213/0001-68;2512 - 0000368504; R$ 3.121,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
34;33050430;CE Padre Anchieta;00.791.386/0001-05;1284 - 0000055883; R$ 9.832,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
35;33050554;CE Professor Francisco Portugal Neves;02.258.304/0001-89;2814 - 0000408018; R$ 8.429,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
36;33048991;CE Professor José de Souza Herdy ;00.914.472/0001-50;0129 - 0001974300; R$ 9.242,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
37;33050570;CE Professora Minervina Barbosa de Castro ;09.597.811/0001-96;1284 - 0000056502; R$ 8.550,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
38;33048797;CE Professora Norma Toop Uruguay;01.183.751/0001-53;2236 - 0000020788; R$ 5.401,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
39;33050031;CE Professora Vera Lucia Tavres Romão ;00.904.507/0001-70;2814 - 0000407534; R$ 5.686,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
40;33048517;CE Rui Barbosa;01.406.691/0001-90;2236 - 0000020796; R$ 8.241,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
41;33050848;CE Santo Antônio;00.911.795/0001-90;6891 - 0000001198; R$ 15.311,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
42;33049815;CE Santo Inácio;00.785.864/0001-66;2284 - 0000027871; R$ 9.142,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
43;33049017;CE São Bento;00.960.497/0001-90;2620 - 0000012998; R$ 11.772,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
44;33049025;CE Vinícius de Moraes;01.087.704/0001-06;2236 - 0000020885; R$ 4.433,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
45;33049033;CE Zumbi dos Palmares;01.099.584/0001-67;2236 - 0000020745; R$ 6.950,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
46;33048835;EE Araribóia ;00.925.950/0001-27;0129 - 0001974025; R$ 3.076,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
47;33049947;EE Assis Chateaubriand;00.816.307/0001-65;2284 - 0000026883; R$ 7.260,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
48;33048843;EE Bairro Senhor do Bonfim;01.197.192/0001-30;2236 - 0000020710; R$ 2.028,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
49;33048916;EE Gilberto Freire;01.099.586/0001-56;0129 - 0001974319; R$ 6.065,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
50;33048932;EE Herbert Moses;00.947.601/0001-06;2236 - 0000020800; R$ 6.152,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
51;33049998;EE João XXIII;01.365.797/0001-93;2814 - 0000407429; R$ 3.440,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
52;33050546;EE Parada Angélica;01.224.182/0001-47;2512 - 0000368601; R$ 8.254,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
53;33050040;EE Professora Cordélia Paiva;02.032.020/0001-70;2236 - 0000020702; R$ 4.707,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
54;33050058;EE Professora Sarah Faria Braz ;01.944.257/0001-64;2814 - 0000407356; R$ 5.289,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
55;33048304;CIEP 031 Lírio da Laguna;01.290.326/0001-63;2605 - 0000373001; R$ 12.919,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
56;33049688;CIEP 032 Cora Coralina ;00.933.298/0001-92;2236 - 0000020869; R$ 17.649,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
57;33049734;CIEP 035 Marechal Henrique Teixeira Lott;01.159.982/0001-21;2814 - 0000408530; R$ 10.242,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
58;33048282;CIEP 087 Clementina de Jesus;00.993.676/0001-23;0129 - 0001974157; R$ 17.202,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
59;33049726;CIEP 089 Graciliano Ramos ;00.990.086/0001-47;2620 - 0000014400; R$ 18.777,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
60;33048339;CIEP 098 Professora Hilda do Carmo Siqueira;00.796.613/0001-87;1206 - 124184; R$ 9.781,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
61;33049742;CIEP 118 Vereador Vilson Campos. Macedo;01.029.217/0001-97;6891 - 0000001171; R$ 22.643,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
62;33048320;CIEP 131 Professora Armanda Álvaro Alberto;01.247.784/0001-10;2620 - 0000013633; R$ 12.261,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
63;33099243;CIEP 171 José Américo Peçanha;01.119.480/0001-77;1284 - 0000056049; R$ 6.925,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
64;33101620;CIEP 176 Chico Mendes;00.785.863/0001-11;1284 - 0000055905; R$ 4.600,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
65;33048347;CIEP 198 Professora Rosa Ferreira de Mattos;01.910.653/0001-70;0129 - 0001974351; R$ 7.483,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
66;33099073;CIEP 199 Charles Chaplin;01.469.250/0001-38;2620 - 0000012009; R$ 12.979,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
67;33110220;CIEP 201 Aarão Streinbruch;03.056.664/0001-60;2284 - 0000029610; R$ 17.743,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
68;33049700;CIEP 208 Alceu Amoroso Lima ;00.904.502/0001-47;2814 - 0000407550; R$ 10.383,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
69;33099766;CIEP 209 Ataulpho Alves;00.854.203/0001-45;2236 - 0000020680; R$ 8.267,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
70;33099235;CIEP 218 Ministro Hermes de Lima;01.264.823/0001-97;2236 - 0000020826; R$ 12.058,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
71;33048312;CIEP 226 Porto da Estrela;01.202.367/0001-50;2814 - 0000407445; R$ 7.848,80 ;2021NE01485;2021NL01505;2021PD01842;IMPEDIDA
72;33049718;CIEP 228  Darcy Vargas;01.241.040/0001-98;2814 - 0000408220; R$ 15.165,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
73;33099200;CIEP 229 Cândido Portinari;02.032.003/0001-32;2814 - 0000407488; R$ 15.896,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
74;33101655;CIEP 320 Ercilia Antonia da Silva;01.427.105/0001-94;2236 - 0000020990; R$ 16.969,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
75;33098816;CIEP 340 Professora Laís Martins;01.438.644/0001-29;2814 - 0000407526; R$ 9.307,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
76;33097810;CIEP 348 Eugenia Moreyra;00.951.302/0001-45;2620 - 0000014303; R$ 11.349,20 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
77;33099286;CIEP 350 Tulio Roberto Cardoso Quintiliano;00.769.087/0001-66;0129 - 0001973916; R$ 11.206,60 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
78;33049696;CIEP 369 Jornalista Sandro Moreyra;00.924.356/0001-11;2814 - 0000407496; R$ 14.119,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
79;33099227;CIEP 370 Professor Sylvio G. de Carvalho;00.869.971/0001-72;1284 - 0000056561; R$ 8.657,80 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
80;33097895;CIEP 404 Clarice Lispector;00.874.935/0001-05;2814 - 0000407410; R$ 11.488,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
81;33099189;CIEP 434 Professora Maria José Machado;00.987.976/0001-08;2236 - 0000020834; R$ 9.478,00 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
82;33096694;CIEP 476 Elias Lazaroni;02.044.514/0001-74;1284 - 0000056006; R$ 21.887,60 ;2021NE01489;2021NL01506;2021PD01844;IMPEDIDA
83;33049475;IE Governador Roberto Silveira;00.679.734/0001-49;2236 - 0000020893; R$ 27.179,40 ;2021NE01478;2021NL01504;2021PD01840;2021LB17934
83;;DUQUE DE CAXIAS;;; R$ 813.806,40 ;;;;
83;;TOTAL DA REGIONAL METROPOLITANA V;;; R$ 813.806,40 ;;;;
;;DIRETORIA REGIONAL METROPOLITANA VI;;;;;;;
ITEM;código;RIO DE JANEIRO;CNPJ;CONTA CORRENTE BRADESCO; VALOR ; NE ; NL ; PD ; LISTA 
1;33105065;CAIC Euclydes da Cunha;02.797.345/0001-43;6629 - 1511475; R$ 33.794,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
2;33077088;CE Adalgisa Monteiro  ;03.494.289/0001-30;1804 - 0000701505; R$ 5.402,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
3;33068011;CE Afonso Pena  ;07.199.983/0001-86;3463 - 0000231177; R$ 6.084,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
4;33077363;CE Alberto Rangel;02.641.695/0001-16;3485 - 0000158364; R$ 3.897,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
5;33077371;CE Alina de Brito;11.838.922/0001-99;0582 - 0001090291; R$ 5.767,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
6;33087750;CE Almirante Tamandaré;11.662.149/0001-52;0827 - 0000080993; R$ 2.792,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
7;33063397;CE Amaro Cavalcanti ;30.020.622/0001-42;2789 - 0000189014; R$ 25.673,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
8;33065276;CE André Maurois ;29.521.572/0001-06;1785 - 0000274909; R$ 26.225,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
9;33066590;CE Antônio Prado Junior;30.052.914/0001-67;1125 - 0000762547; R$ 22.772,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
10;33183724;CE Arthur Antônio Sendas;36.030.370/0001-19;2776 - 00065247-4; R$ 1.971,80 ;2021NE01442;2021NL01414;2021PD01756;IMPEDIDA
11;33086427;CE Augusto Ruschi  ;18.278.417/0001-86;6246 - 0000030325; R$ 1.700,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
12;33077100;CE Brigadeiro Schorcht ;29.972.809/0001-67;0831 - 0000077801; R$ 22.780,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
13;33077150;CE Cardeal Dom Eugenio de Araujo Sales (EX - CE Pedro Aleixo);03.543.264/0001-80;0827 - 0000080519; R$ 5.198,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
14;33077118;CE Carlos Lacerda;02.658.850/0001-07;0582 - 0001090208; R$ 4.263,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
15;33064792;CE Castelnuevo;11.674.753/0001-07;3023 - 0000490709; R$ 3.373,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
16;33063389;CE Chico Anysio;02.481.527/0001-00;1745 - 0005508002; R$ 7.481,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
17;33126941;CE Chiquinha Gonzaga;11.683.268/0001-91;2819 - 0000296309; R$ 3.784,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
18;33439222;CE Compositor Luiz Carlos da Vila;11.546.138/0001-07;2922 - 0000176796; R$ 15.300,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
19;33126232;CE Compositor Luiz Gonzaga;11.358.155/0001-10;6643 - 0000001503; R$ 4.466,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
20;33071560;CE Delfim Moreira;15.693.487/0001-02;2489 - 0000168823; R$ 4.183,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
21;33063877;CE Deodoro;11.910.671/0001-06;2545 - 0000126802; R$ 2.678,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
22;33077126;CE Eduardo Mondlane ;02.775.994/0001-43;6629 - 0000010944; R$ 6.404,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
23;33077452;CE Embaixador Dias Carneiro ;02.175.662/0001-28;0952 - 0000064831; R$ 3.477,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
24;33077134;CE Engenheiro Bernardo Sayão;02.737.578/0001-50;0582 - 0001090186; R$ 6.868,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
25;33077169;CE Eunice Weaver ;01.035.675/0001-39;0831 - 0000064661; R$ 4.172,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
26;33126105;CE Finlândia;11.384.592/0001-09;6875 - 0000002100; R$ 4.752,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
27;33067783;CE Francisco Campos ;13.025.289/0001-45;1790 - 0000352780; R$ 4.684,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
28;33077487;CE Frederico Eyer;12.821.912/0001-03;0952 - 0000064866; R$ 2.234,00 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
29;33077495;CE General Carlos Caetano Miragaya;12.356.785/0001-19;0864 - 0000054364; R$ 3.100,80 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
30;33087725;CE Gilson Amado;02.660.381/0001-60;0872 - 0000076805; R$ 6.484,60 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
31;33087733;CE Golda Meir;02.915.248/0001-08;2757 - 0000173975; R$ 4.159,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
32;33066140;CE Gonçalves Dias;17.533.569/0001-15;2922 - 0000201600; R$ 3.533,20 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
33;33126224;CE Herbert de Souza;04.631.518/0001-84;0827 - 0000080594; R$ 18.062,40 ;2021NE01437;2021NL01413;2021PD01753;2021LB17924
